epoch,dev_loss,dev_EER_percent
2,0.2574178687343584,23.83048131068275
3,0.2135766946886955,14.84043853527168
4,0.344179095694176,15.972393552933301
5,0.057843192423201,1.92359443570423
6,0.0124891548079336,0.43114082595860004
7,0.0045058002778002,0.07961245274792
8,0.003953384503353,0.15698235077752
9,0.0033005349472727,0.04653389052896
10,0.0015302421949543,0.07512734331125
11,0.0012646763362716,0.04204878109229
12,0.0012919763452576,0.00897021887334051
13,0.0002228619133357,0.0022425547183351274
14,0.0002741882823183,0.0022425547183351274
15,0.0008322157083681,0.07512734331125
16,0.0005573429576705,0.00897021887334051
17,0.0004427967963597,0.03532111693729
18,0.0001079448826398,0.0
19,0.0001866600015695,0.0
20,0.0002607904554382,0.006727664155005381
21,8.112229876909415e-05,0.0
22,0.0003674927166158,0.03307856221895
23,0.0002278730817283,0.0
24,0.0003250666109987,0.0
25,1.7457514158803894e-05,0.0
26,3.402018282190885e-05,0.0
27,0.0002545693946884,0.00897021887334051
28,5.7810018841125577e-05,0.0
29,0.0001060197726027,0.0022425547183351274
30,0.0001614945623542,0.0
